,job_title,company_name,job_location,date,job_description,AWS Cloud,Algebra,Azure,Big Data,C/C++,Data Mining/Analytics,DevOps,Excel,GCP,Git,Google Cloud,IBM,Jason,Java,MATLAB,Machine Learning,Mathematics,NLP,Neural Networks,Operations research,Oracle,Probability,Python,R,SAS,SDLC,SPSS,SQL/databases,Scala,Stata,Statistics,Support Vector Machines,Team building,Visualisation,agile,consulting,decision making,leadership,management,presentation,problem solving,project_management,xml
0,Data QA Analyst,Ritchie Bros.,"Burnaby, BC",save job,"Are you passionate about getting high-quality data into the hands of business leaders? Does test automation make you excited to get up in the morning?We’re looking for a Data Management Quality Assurance Analystbased in Burnaby, BC.What We Offer: Base salary + paid overtimeComprehensive medical and dental benefits.RRSP and an Employee Share Plan, both with company match.Ongoing training, professional development and tuition reimbursement.A multi-award winning LEED gold certified facility, in an exceptional park-like setting, featuring:Your Opportunity Reporting to the Data Management Program Manager, the Data Management Quality Assurance Analyst develops, establishes, and enforces quality assurance standards and measures for the Data Management Group. One of the primary responsibilities of this position is to develop, execute, and report on test cases from specified project requirements. Additionally, the incumbent is responsible for the coordination, execution and verification of testing procedures against Enterprise Data Warehouse (EDW) & Data Lake solutions. The incumbent ensures that all benchmarks are being met and reported accurately to the Program Manager.Develop & Execute Test Cases and document results for data-oriented solutions (EDW, Data Lake, etc) including presentation layers (SSRS, SSAS, Tableau, etc)Develop automated test scriptsParticipate in work planning including calculation of testing estimatesLead the development, establishment, and enforcement of quality assurance processes, measures and testing standards, providing QA expertise and support to developers and other QAs on teamHere’s What You BringUndergraduate degree in business, computer science or equivalent5 years of quality assurance experience in a data-oriented environment, including direct hands-on experience with ad hoc query programs, automated testing tools, and reporting software.2 years working directly with relational databases and SQL, including the ability to write queries to validate data accuracy and quality. SQL Server experience would be an asset.Tableau experience an assetJob Type: Full-timeExperience:quality assurance: 5 years (Required)Sql: 2 years (Required)Education:Bachelor's Degree (Preferred)Location:Burnaby, BC (Required)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,Data Analyst,SPORTLOGiQ,"Montréal, QC",save job,"SPORTLOGiQ is a computer vision technology company that provides advanced sports analytics to broadcast media and professional teams. Our player tracking and activity recognition algorithms generate detailed game statistics using standard, single-camera game footage.We’re growing our Data Analyst team and are looking for someone who has experience as a Data Analyst and who is looking to grow within a strong team and contribute to the overall success of the company. If this sounds like you, please keep reading!What you’ll do: Participate in creating new advanced sports metricsDevelop automation scripts for reports and metrics visualizationGather and analyze data for internal and external customersCurate and package content as neededWork with account managers to help with customer requests and inquiriesTransfer raw data into useful metrics and visualizationsWhat you’ll need: 3-5 years of experience as Data/Business/BI AnalystBA in relevant fieldExperience with python, SQL, RAbility to prioritize tasksAbility to communicate analytic results in a technical and non-technical mannerExperience as PHP programmer an assetKnowledge and passion for sports analytics is HUGE asset!What we offer: Competitive salaryFlexible work scheduleBonus structure and employee stock optionsComprehensive benefits programA cooperative and fun work environmentA dog friendly officeAn endless coffee, tea and candy bar!Job Type: Full-timeLocation:Montréal (Preferred)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sports Data Analyst - American Football,SPORTLOGiQ,"Montréal, QC",save job,"SPORTLOGiQ is a computer vision technology company that provides advanced sports analytics to broadcast media and professional teams. Our player tracking and activity recognition algorithms generate detailed game statistics using standard, single-camera game footage.We’re growing our Data Analyst team and are looking for someone who has experience as a Data Analyst and who is passionate about American Football and has worked in the domain. If this sounds like you, please keep reading!What you’ll do: Participate in creating new advanced sports metricsDevelop automation scripts for reports and metrics visualizationGather and analyze data for internal and external customersCurate and package content as neededWork account managers to help with customer requests and inquiriesTransfer raw data into useful metrics and visualizationsWhat you’ll need: 2-3 years of experience as Data/Business/BI AnalystBA in relevant fieldExperience with python, SQL, RAbility to prioritize tasksAbility to communicate analytic results in a technical and non-technical mannerExperience as PHP programmer an assetWorking knowledge and passion for NFL analytics is HUGE asset!What we offer: Competitive salaryFlexible work scheduleBonus structure and employee stock optionsComprehensive benefits programA cooperative and fun work environmentA dog friendly officeAn endless coffee, tea and candy bar!Job Type: Full-timeLocation:Montréal (Required)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IT Data Analyst III,TD Bank,"London, ON",1 day ago,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Portfolio Data Analyst,TD Bank,"Toronto, ON",4 days ago,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Junior Data Analyst - ENTRY LEVEL (Part Time),Canadian Back Institute Operating Limite,"Calgary, AB",1 day ago,"Calgary, ABPart-timeJunior Data Analyst - ENTRY LEVEL (Part Time)
Are you new grad or a student looking to make a difference? We are currently seeking a Part Time Junior Data Analyst to assist our Quality Team. Flexible hours available for this position.
Primary duties:
Obtain & compile data
Analyze & produce reports
Assist with Quality Initiatives
Qualifications:
Have customer service experience
Have computer skills
Demonstrate excellent telephone etiquette
Be a detail-oriented, adaptable and customer-focused team player
Combine strong interpersonal skills with analytical problem-solving abilities
Be self-directed, goal-oriented and able to manage time and priorities
Possess medical knowledge or a medical background will be considered as an asset
About CBI Health Group:

CBI Health Group is Canada’s largest provider of integrated community healthcare. For over 40 years, we have remained totally committed to improving the health and enriching the lives of Canadians.

What sets us apart is our ability to work as a unified network dedicated to the ongoing learning that allows us to foster best practices, improve access to care and create better results for our patients. We organize our teams and services to ensure the right professionals and caregivers provide the right service, at the right time, in the right place.

In over 250 facilities, our services are provided by a dedicated team of more than 11,000 administrators, support staff and caregivers that include physiotherapists, occupational therapists, registered massage therapists, kinesiologists, chiropractors, speech-language pathologists, psychologists, physicians, nurses, dietitians and behaviour therapists.

The CBI group of companies includes CBI Health Centres, CBI Home Health, We Care Home Health Services, Monarch House, CBI Workplace Solutions, and CBI Assessment Services. Our expanding transitional and residential community care network now numbers more than 60 homes nationwide.

At CBI, our people really care and believe that by working together, we can aim higher and make great things happen every day.

Facebook: facebook.com/cbihealthgroup | Twitter: twitter.com/cbihealthgroup | www.cbi.ca

CBI Health Group is committed to accommodating people with disabilities as part of our hiring process. If you have special requirements, please advise Human Resources during the recruitment and selection process.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,GI Pricing Data Scientist,TD Bank,"Toronto, ON",2 days ago,"Toronto, ONTell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Funding Data Entry and Analyst,Fundingportal,"Toronto, ON",save job,"Toronto, ONContract$17.50 an hourJob SummaryFundingportal (fundingportal.com), an online funding services and solutions provider, is seeking a Funding Data Entry and Analyst to join its team. With a background in commerce, administration or communications, you will be tasked with identifying government funding programs in the United States and entering or updating program data into Fundingportal's proprietary database.TasksIdentify and review American government funding programs for organizations.Independently verify and update existing program data.Enter and edit fund-related data without errors.Report back on project status at the end of every business day.Job Type / CategoryYou will work from home, completing at least 15 hours of work per week. The total project term is 120 hours, divided amongst 3-4 contractors.Required Education, Skills and QualificationsYou are smart, speedy, organized, punctual, courteous, professional, reliable, have a sharp eye for detail and a willingness and ability to learn and use data entry systems. You are interested in learning more about funding and Software as a Service (SaaS).ProfileRecent University or College Graduate (Commerce, Business Administration, Journalism, English, Communications)Ideally, the candidate will have 3 months to 1-year of experience working in an administrative function in a professional setting.QualificationsHighly reliable and accurate data entry and verification skills.Advanced organizational and multi-tasking skills.Professional interactions with management and staff.Ability to work autonomously and identify and lead initiatives within your sphere of control.Company ProfileFundingportal is a funding services and solutions provider that helps organizations get funded. Its unique FundsuiteSoftware as a Service (SaaS) solution powers its own platforms—Fundingportal Canada, US, and the UK—and is offered as cloud-based solutions to applicants, funders, and advisors. Founded in 2011, it has served more than one million users on its platform and has licensed its solutions to dozens of licensees, including business incentives advisory firms, economic development agencies, industry associations, and accelerators.Job Type: ContractSalary: $17.50 /hourExperience:data entry: 1 year (Required)Education:Bachelor's Degree (Required)Location:Toronto, ON (Preferred)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8,Data Scientist,TD Bank,"Toronto, ON",4 days ago,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Data Analyst,Inbox Marketer,"Guelph, ON",21 hours ago,"What we need.

Inbox Marketer offers value by telling our clients’ customer stories. We need a highly skilled and passionate Data Analyst to dive into the data in order to bring that story to life.

What you can bring to the table.

Your experience will allow you to provide insightful analysis for our Operations, Client Management and Strategy teams by integrating data from multiple data sources (email deployment platforms, applicable data marts/data lakes, web analytics, APIs, etc). Your knowledge of automating tasks will prepare you to find process efficiencies and improvements. We can rely on you to recognize and communicate issues or critical risks that would negatively impact project objectives. You are highly organized, creative, a problem solver, naturally curious and self-directed.

 You’re someone who can perform statistical analysis, score data, model data, cluster data and create test plans for data. You can develop interactive dashboards, analytical reports, and present clearly and effectively both internally and for clients. You have a general understanding of the role of digital marketing and how our campaigns serve to achieve overarching business and marketing KPIs.

 Our clients are EVERYWHERE!

And we mean that. We don’t specialize in servicing one industry. Where’s the fun in that? Our clients are some of the biggest brands in Canada and the US and are within nearly every industry: telecommunications, energy, retail, grocery, financial, not-for-profit, sports, and entertainment. Each company comes with its own challenges, and we’re up to solving them. That’s why we’re looking for bright minds just like you!

QUALIFICATIONS

You have a bachelor degree in a Quantitative or Technical Field, or equivalent experience of 3-4 years in a data-related field.
 REQUIREMENTS

Communication:

Effectively communicate complex ideas in a clear way
Ability to visually display findings in an easy to understand manner
Properly interpret internal and client requests – fact find as needed in order to get a clear understanding of the objective of the task
Project Management:

Take ownership for one’s own work (quality of work as well as timing)
Ability to multi-task effectively
Maintain strong attention to detail
Provide input in project scope phase in order to set proper expectations of final output and associated timing
Overall Experience:

Marketing experience
Customer relationship experience
Excellent math skills
Expert level Excel skills
Analytics:

Working with SQL, stored procedures or SSIS, server integration, and databases
Ability to interpret data and analyze the results using statistical techniques
Experience with data visualization tools (i.e. Tableau, Pentaho)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Data Quality Analyst - Ambulatory Multi Organ Transplant Clinics,University Health Network,"Toronto, ON",2 days ago,"Part-time, PermanentTransforming lives and communities through excellence in care, discovery and learning ...
At University Health Network, which consists of Toronto General, Toronto Western, Princess Margaret and Toronto Rehab hospitals, nothing is more important to us than our team of dedicated employees. UHN focuses on creating and maintaining a workplace of choice, where our people are recognized and valued. We focus on creating a workplace where people enjoy the challenge of their career, create and engage in best practices and are treated with respect.
The Data Quality Analyst will provide administrative and technical assistance to the department or unit, mainly involved with routine data/information collection and input, assuring complete and accurate data is collected and reported. The principal responsibilities include: data collection, entry and reporting; coordinating the data collection efforts; assisting in analysis of data as necessary; assisting in the interpretation of results and the preparation of material for presentation; performing cross-functional and/or other duties consistent with the job classification, as assigned or requested. The Data Quality Analyst will exercise considerable judgment and independence to provide support for department specific needs. The data analyst will perform additional clerical functions and other duties to support the work being carried out by the department or unit as required.
This role will work within the Ambulatory Transplant department, acting as the Transplant Program’s key representative for data reporting to Trillium Gift of Life (TGLN). The analyst will work closely with TGLN as well as members of the TGH Transplant team to ensure key deadlines are met with data reporting.
Qualifications:
Completion of a Three (3) Year Community College Program in Database Management, or recognized equivalent
Bachelors degree preferred
One (1) to Two (2) Years practical and related experience
Knowledge of medical terminology
Ability to work independently, under supervision and as part of a team
Proficient in MS-Excel, MS-Access, MS-Office
Computer proficiency at the intermediary level, with the ability to learn database management and report writing
Experience with clinical patient information systems
Excellent written and verbal communication skills, excellent organization, good computer skills, ability to learn quickly and work independently
Excellent interpersonal skills and ability to work with a multidisciplinary team.
Keen attention to detail required
Ability to perform duties in a professional and courteous manner and produce high quality work while meeting deadlines in accordance to UHN standards
Ability to perform multiple concurrent tasks
Client service oriented, with the ability to effectively work with diversity and appreciate that people with different opinions, backgrounds and characteristics bring richness to the challenge or situation at hand
Ability to perform patient chart research and data acquisition, with the use of various computer software
APPLICATION SUBMISSION CLOSING DATE: March 28, 2019
Only hospital employees, who have successfully completed their probationary period, have maintained satisfactory attendance in accordance with UHN's attendance management program and possess all the required experience and qualifications should apply.
University Health Network thanks all applicants, however, only those selected for an interview will be contacted.
University Health Network has a diverse workforce and is an equal opportunity employer.
UHN is a respectful, caring, and inclusive workplace. We are committed to championing accessibility, diversity and equal opportunity. Requests for accommodation can be made at any stage of the recruitment process providing the applicant has met the Bona-fide for the open position. Applicants need to make their requirements known when contacted.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11,GIS Data Analyst,City of Hamilton,"Hamilton, ON",3 days ago,"$37.07 - $42.13 an hourReporting to the Supervisor, Spatial Solutions Services, the GIS Data Analyst is required to maintain and assist in administering the City’s Corporate GIS database (i.e. data entry, editing, manipulation and quality control). Performs information product generation tasks (i.e. queries, geo-processing, tabular summaries and reports), and provides customer service to internal staff and external clients. Assists in the development of methodologies for database input and maintenance by staff
QUALIFICATIONS & REQUIREMENTS:
University Degree or College Diploma in Geographic Information Systems, Engineering, Land Surveying, Geography and Urban Planning or related disciplines including Library Science, Computer Science, Information Systems. Five (5) to seven (7) years of demonstrated experience and proven knowledge in mapping and spatial database analysis and user support, including practical experience working with GIS technology (Esri suite of products preferred), preferably in a municipal environment.
Must have knowledge of standards and methodologies for GIS data management including, integration, conversion, manipulation, transfer, compatibility, valuation, storage and maintenance, data security and quality controls for data entry to manage the data life cycle. Demonstrated experience and proven knowledge in designing and implementing spatial database technology, preferably in a municipal or related environment. Working knowledge and experience with a range of GIS products, processes, and principles (e.g. Esri ArcGIS), GIS databases (e.g. ArcSDE, Oracle 12c, SQL Server), GIS terminology, GIS methods and techniques, scripting languages (eg. FME, Python), cartography procedures, coordinate systems and projections, geo-spatial digital imagery, digital equipment (e.g. survey, GPS, data collectors) on-site users GIS and tool support and trouble-shooting, managing GIS software and databases.
Working knowledge of relevant legislation (i.e. Freedom of Information and Protection of Privacy Act, etc), and procedures related to information management, data standards, intellectual property rights, data security, copyright license data sharing agreements and privacy to ensure data is maintained in a secure environment and that the City's interests are met and value gained.
Must have good attention to detail and demonstrate analytical, problem solving and technical skills to manage, maintain, update and prepare database records (spatial & tabular formats), manipulating, analyzing and managing tabular and spatial data; and to resolve technical problems and information requirements by gathering/analyzing data, selecting/designing desired file and record format requirements, documenting revisions undertaken.
Knowledge of project management methodologies, including capacity to monitor projects, track work and provide input into work planning; and working knowledge of office software applications (e.g. Outlook, Word, Excel, PowerPoint) in support of communications, reporting, presentations and training.
Good written and oral communications skills including experience preparing reports, technical instructions, and data share agreements. Good interpersonal skills to effectively deal with requests and concerns of clients/partners.
Ability to work both independently as well as in a team environment, work under pressure and meet deadlines.


Disclaimer:
Be advised that Human Resources frequently audits resumes of internal/external applicants to ensure/validate information provided is consistent and trustworthy. Falsification of information provided at any time throughout the recruitment process may be grounds for disqualification, and for internal applicants, subject to discipline up to and including termination.
Terms:
The City is an equal opportunity employer that is committed to inclusive, barrier-free recruitment and selection processes. Consistent with our Values and Corporate Culture Pillars, the City of Hamilton is committed to providing equitable treatment to all with respect to barrier-free employment and accommodation without discrimination. The City will provide accommodation for applicants in all aspects of the hiring process, up to the point of undue hardship. If you have an accommodation need, please contact Human Resources as soon as possible to make appropriate arrangements.
We invite you to visit the departmental webpage to obtain further information on the culture and business of this department.
The incumbent shall comply with all Health and Safety Policies and Practices for this position and the workplace.
It is the responsibility of the applicants to ensure that their application reaches Human Resources by the closing date or they may not be considered. It is also the responsibility of applicants to supply qualifications, licences and related experience relevant to the qualifications outlined above for this competition as directed. On the basis of the criteria set out above, this posting is open to all applicants
The statements made by me are true, complete and correct to the best of my knowledge. I understand that any falsification of statements, misrepresentations, deliberate omission or concealment of information may be considered just cause for discipline, up to and including termination for internal applicants and disqualification for external applicants.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
12,Business Analyst/Data analyst,RSD Group,"Toronto, ON",save job,"$60,000 - $80,000 a yearExperience in requirements gathering sessions with stakeholders, and developed discovery documentation, diagrams, models, user interface mock-ups, and final Business Requirement Documents (BRD).Deal with vendors and stakeholders in applying for Security and Compliance reviews, vendor assessments and security tests, in order to integrate and align to Business standardsCollaborate with the team on Sprint Planning and assist with planning to accomplish items from backlogs.Generate and compile data from multiple data sources using various business intelligence tools and information management systems.Communicate with client’s business requirements and processes through document analysis, interviews, workshops and flow analysis.Identifying project stakeholders and designated critical stakeholders as SMEs; outlined project system scope, detailed workflows and high-level system capabilities.Experience in resource capacity planning, resource management and resource allocation process.Experience in Risk Analysis of requirements to identify the key business risk areas for the project, prioritized the application development, and testing.Job Type: Full-timeSalary: $60,000.00 to $80,000.00 /yearExperience:business analyst: 1 year (Required)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Junior Data Analyst - ENTRY LEVEL (Part Time),CBI Home Health,"Calgary, AB",1 day ago,"Calgary, ABPart-timeAre you new grad or a student looking to make a difference? We are currently seeking a Part Time Junior Data Analyst to assist our Quality Team. Flexible hours available for this position.

Primary duties:

Obtain & compile data
Analyze & produce reports
Assist with Quality Initiatives
Qualifications:

Have customer service experience
Have computer skills
Demonstrate excellent telephone etiquette
Be a detail-oriented, adaptable and customer-focused team player
Combine strong interpersonal skills with analytical problem-solving abilities
Be self-directed, goal-oriented and able to manage time and priorities
Possess medical knowledge or a medical background will be considered as an asset
About CBI Health Group:

CBI Health Group is Canada’s largest provider of integrated community healthcare. For over 40 years, we have remained totally committed to improving the health and enriching the lives of Canadians.

What sets us apart is our ability to work as a unified network dedicated to the ongoing learning that allows us to foster best practices, improve access to care and create better results for our patients. We organize our teams and services to ensure the right professionals and caregivers provide the right service, at the right time, in the right place.

In over 250 facilities, our services are provided by a dedicated team of more than 11,000 administrators, support staff and caregivers that include physiotherapists, occupational therapists, registered massage therapists, kinesiologists, chiropractors, speech-language pathologists, psychologists, physicians, nurses, dietitians and behaviour therapists.

The CBI group of companies includes CBI Health Centres, CBI Home Health, We Care Home Health Services, Monarch House, CBI Workplace Solutions, and CBI Assessment Services. Our expanding transitional and residential community care network now numbers more than 60 homes nationwide.

At CBI, our people really care and believe that by working together, we can aim higher and make great things happen every day.

Facebook: facebook.com/cbihealthgroup | Twitter: twitter.com/cbihealthgroup | www.cbi.ca

CBI Health Group is committed to accommodating people with disabilities as part of our hiring process. If you have special requirements, please advise Human Resources during the recruitment and selection process.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Data Analyst,The Logit Group,"Toronto, ON",save job,"Toronto, ONThe Logit Group Inc. is accepting applications for an experienced Data Analyst at our Toronto office. This position involves working with our data analysis department. Running projects independently or with the team. A broad range of data collection methodologies will be explored, offering excellent insight into the standards for data processing across the industry.Primary Tasks: Process data using statistical software to conduct basic analysisMaintain quality checks via skip patterns and write small routines for data validationNotify Programmers and Project Managers of any logic errors during QCApply weights as per supplied weight matrixSetup and compile cross-tabulations in Wincross according to client requirementsAssist Programmer on tracking studies to maintain data standards throughout project life-cycleCreate routines and syntax to improve or expedite table setup for large studies.Skill Set Required: Strong Excel and SPSS or Wincross capabilitiesWorking knowledge of existing data collection software such as Voxco, DASH or Q-fi would be an assetPersonal Attributes: Excellent communication skillsAbility to work effectively both with a team as well as independentlyExcellent time management and organizational skillsDetailed focused and deadline orientedAn ongoing focus and desire for excellent client serviceApplication Process: Send your resume’ and a short cover letter. Please ensure the subject line clearly states the above-mentioned position title.Company Description: The Logit Group is a North America leader in providing Online, Telephone and On-Site Market Research Data Collection. With offices in Toronto, Montreal and Kansas, our goal is to develop a dependable data collection relationship that gives our clients the confidence to tackle any research challenge.Job Type: Full-time",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
15,Data Analyst,GS1 Canada,"Toronto, ON",5 days ago,"Toronto, ONPosition:

Data Analyst


Reports To:

Manager, Data Governance & Data Analytics


Tier:

Staff


Department:

Data Governance & Service Optimization


Company:

GS1 Canada


Location:
Toronto


Status:

Contract, (12 Months)


Job Number:

 1435



Company Profile:

We are a member organization of GS1, the world’s leading supply chain standards organization. As a neutral, not-for-profit organization, we enable our more than 20,000 subscribers – organizations of all sizes from over 20 sectors across Canada – to enhance their efficiency and cost effectiveness by adopting electronic supply chain best practices.


What We Do:
We develop standards that improve the way that business is conducted and allow Canadian businesses to compete on a global scale.
We deliver implementation services that enable businesses to implement standards to achieve supply chain efficiency.
We educate industry on how to incorporate collaborative commerce tools and processes into their businesses through seminars, conferences, and published guides and standards.
Watch our video: GS1 Canada Overview (https://youtu.be/3__lBt8SLvw)

Who We Represent:

As a user-driven and governed organization, our subscriber base includes organizations of all sizes across a wide range of industries and sectors located across Canada and around the world.

Keys To The Role
The Data Analyst will support GS1 Canada’s industry exclusive Dashboard. This includes weekly data processing and validation of master data files, quality assurance testing and ongoing product development and process optimization.

The Data Analyst also plays an integral role in supporting Industry Managed Services (IMS) with subscriber and service level reporting and analysis. Working closely with other analysts, the candidate will extract, process and summarize subscriber data and be instrumental in ensuring data quality and integrity throughout the process.

The Data Analyst will assist the Manager of Data Governance & Analysis to translate business requirements into technical and functional solutions that allow IMS to deliver value added services to existing subscribers and promote enrolment of new subscribers which support cost recovery in the not-for-profit model.

Duties and Responsibilities
Execute the refresh of GS1 Canada’s Dashboard – a portal used by retailers to evaluate vendor compliance to services essential for commerce.
Validate retail data against GS1 Canada registries for completeness and perform quality assurance prior to promotion to production
Transforming, validating and modeling data with the purpose of understanding and drawing conclusions.
Liaise with senior and executive level stakeholders to identify criteria for business reporting and execute the technical solution delivery.
Evaluate business requirements gathered from multiple sources and identify underlying business needs vs wants and work with Manager to prioritize development efforts.
Create reports that go beyond presenting the numbers, but tells a story about the data being evaluated.
Validate system integrity through report generation and analysis from various internal databases as required (i.e. CRM, ECCnet Registry and Item Centre).
Assist with conducting full lifecycle data analysis and evolving analysis and reporting capabilities.
Champions initiatives to enhance data quality by identifying opportunities for continuous improvement and efficiencies in reporting, analysis and/or product development
Establish a brand identity by standardizing report processes and generating output with consistent results, accurate information and quality fit and finish.
Engage with Data Governance to document and maintain procedures for data management and reporting standards;
Ensure ongoing understanding of relevant emerging technologies and services provided by GS1 Canada.
Required Knowledge, Skills, and Experience
University degree or college diploma in business or a related area of study, with a focus on problem solving, analytics/mathematics and critical thinking
A minimum of 2-3 year’s work experience, preferably in data management and reporting capacity
Background in business intelligence (BI) and familiarity with master data management highly preferred.
Ability to analyze, understand and effectively communicate/confirm business reporting requirements, technical design and implementation
Meticulous with high attention to detail
Proven ability to apply critical thinking. Able to read between the lines to extrapolate requirements not explicitly written or identified and anticipates next steps
Takes pride in their work and validates with vigour to ensure accuracy and correctness
Displays passion and optimism; inspires respect and trust; exhibits confidence in self and others
Demonstrated ability to interact in a professional and efficient manner
Excellent interpersonal and communication skills with ability to positively influence others to promote engagement
Able to speak and present to stakeholders at all levels
Strong organizational focus, with demonstrated analytical, problem solving and planning skills
Demonstrated and proven high level of proficiency with MS Office (Excel, Outlook, Word, and PowerPoint) with preference given to those with advanced expertise in Excel and familiarity with MS Access or other relational database systems
Working knowledge of Microsoft Dynamic CRM would be an asset
Exposure in coding SQL and/or VBA is desired
Proven ability to work on multiple projects, multitask and prioritize in a fast-paced environment
Entrepreneurial spirit suited for fast-paced, results-based environment, requiring flexibility to ever-changing needs


GS1 Canada is an equal opportunity employer. If selected for an interview, please advise our Human Resources team if you require accommodation due to a disability during the interview and assessment process.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
